iteration,mean_gap,std_gap,match_rate,mean_oracle_loss,mean_qubo_loss
1,0.00000000,0.00000000,0.9000,20.003587,20.003587
2,0.00000000,0.00000000,0.9000,20.003587,20.003587
3,0.00000000,0.00000000,0.9000,20.003587,20.003587
4,0.00000000,0.00000000,0.9000,20.003587,20.003587
5,0.00000000,0.00000000,0.9000,20.003587,20.003587
6,0.00000000,0.00000000,0.9000,20.003587,20.003587
7,0.00000000,0.00000000,0.9000,20.003587,20.003587
8,0.00000000,0.00000000,0.9000,20.003587,20.003587
9,0.00000000,0.00000000,0.9000,20.003587,20.003587
10,0.00000000,0.00000000,0.9000,20.003587,20.003587
11,0.00000000,0.00000000,0.9000,20.003587,20.003587
12,0.00000000,0.00000000,0.9000,20.003587,20.003587
13,0.00000000,0.00000000,0.9000,20.003587,20.003587
14,0.00000000,0.00000000,0.9000,20.003587,20.003587
15,0.00000000,0.00000000,0.9000,20.003587,20.003587
16,0.00000000,0.00000000,0.9000,20.003587,20.003587
17,0.00000000,0.00000000,0.9000,20.003587,20.003587
18,0.00000000,0.00000000,0.9000,20.003587,20.003587
19,0.00000000,0.00000000,0.9000,20.003587,20.003587
20,0.00000000,0.00000000,0.9000,20.003587,20.003587
21,0.00000000,0.00000000,0.9000,20.003587,20.003587
22,0.00000000,0.00000000,0.9000,20.003587,20.003587
23,0.00000000,0.00000000,0.9000,20.003587,20.003587
24,0.00000000,0.00000000,0.9000,20.003587,20.003587
25,0.00000000,0.00000000,0.9000,20.003587,20.003587
26,0.00000000,0.00000000,0.9000,20.003587,20.003587
27,0.00000000,0.00000000,0.9000,20.003587,20.003587
28,0.00000000,0.00000000,0.9000,20.003587,20.003587
29,0.00000000,0.00000000,0.9000,20.003587,20.003587
30,0.00000000,0.00000000,0.9000,20.003587,20.003587
31,0.00000000,0.00000000,0.9000,20.003587,20.003587
32,0.00000000,0.00000000,0.9000,20.003587,20.003587
33,0.00000000,0.00000000,0.9000,20.003587,20.003587
34,0.00000000,0.00000000,0.9000,20.003587,20.003587
35,0.00000000,0.00000000,0.9000,20.003587,20.003587
36,0.00000000,0.00000000,0.9000,20.003587,20.003587
37,0.00000000,0.00000000,0.9000,20.003587,20.003587
38,0.00000000,0.00000000,0.9000,20.003587,20.003587
39,0.00000000,0.00000000,0.9000,20.003587,20.003587
40,0.00000000,0.00000000,0.9000,20.003587,20.003587
41,0.00000000,0.00000000,0.9000,20.003587,20.003587
42,0.00000000,0.00000000,0.9000,20.003587,20.003587
43,0.00000000,0.00000000,0.9000,20.003587,20.003587
44,0.00000000,0.00000000,0.9000,20.003587,20.003587
45,0.00000000,0.00000000,0.9000,20.003587,20.003587
46,0.00000000,0.00000000,0.9000,20.003587,20.003587
47,0.00000000,0.00000000,0.9000,20.003587,20.003587
48,0.00000000,0.00000000,0.9000,20.003587,20.003587
49,0.00000000,0.00000000,0.9000,20.003587,20.003587
50,0.00000000,0.00000000,0.9000,20.003587,20.003587
