iteration,gap,theta_error,phi_error,loss_oracle,loss_qamab
1,0.042897,0.190444,0.165623,37.964606,38.007502
2,0.042897,0.133564,0.125954,37.964606,38.007502
3,0.042897,0.125265,0.131402,37.964606,38.007502
4,0.000000,0.127566,0.133379,37.964606,37.964606
5,0.000000,0.131045,0.134363,37.964606,37.964606
6,0.000000,0.133815,0.136013,37.964606,37.964606
7,0.000000,0.138792,0.135499,37.964606,37.964606
8,0.000000,0.140019,0.137983,37.964606,37.964606
9,0.000000,0.142576,0.138623,37.964606,37.964606
10,0.000000,0.145272,0.138560,37.964606,37.964606
11,0.000000,0.145559,0.140298,37.964606,37.964606
12,0.000000,0.147361,0.140662,37.964606,37.964606
13,0.000000,0.148104,0.141444,37.964606,37.964606
14,0.000000,0.148815,0.141890,37.964606,37.964606
15,0.000000,0.149700,0.142249,37.964606,37.964606
16,0.000000,0.150499,0.142569,37.964606,37.964606
17,0.000000,0.151244,0.142889,37.964606,37.964606
18,0.000000,0.151818,0.143189,37.964606,37.964606
19,0.000000,0.152440,0.143404,37.964606,37.964606
20,0.000000,0.152891,0.143604,37.964606,37.964606
21,0.000000,0.153392,0.143822,37.964606,37.964606
22,0.000000,0.153786,0.143980,37.964606,37.964606
23,0.000000,0.154137,0.144161,37.964606,37.964606
24,0.000000,0.154488,0.144313,37.964606,37.964606
25,0.000000,0.154813,0.144423,37.964606,37.964606
26,0.000000,0.155060,0.144526,37.964606,37.964606
27,0.000000,0.155381,0.144604,37.964606,37.964606
28,0.000000,0.155569,0.144712,37.964606,37.964606
29,0.000000,0.155762,0.144806,37.964606,37.964606
30,0.000000,0.155938,0.144879,37.964606,37.964606
